Name,MCI_HB,MCI_SB
Diptera Sciomyzidae Neolimnia,3,5.1
Diptera Chironomidae Parochlus,8,
Diptera  Peritheates,7,
Diptera Ephydridae Scatella,7,
Diptera Chironomidae Tanytarsus,3,
Diptera  Calopsectra,4,
Nemerta  ,3,1.8
Oligochaeta  ,1,3.8
Odonata Aeshnidae Aeshna,5,1.4
Odonata Corduliidae Antipodochlora,6,6.3
Odonata Lestidae Austrolestes,6,0.7
Odonata Aeshnidae Hemianax,,1.1
Odonata Corduliidae Hemicordulia,5,0.4
Odonata Coenagrionidae Ischnura,,3.1
Odonata Corduliidae Procordulia,6,3.8
Odonata Coenagrionidae Xanthocnemis,5,1.2
Odonata Petaluridae Uropetala,5,0.4
Odonata  Anisoptera,5,6
Hemiptera Notonectidae Anisops,5,2.2
Hemiptera Corixidae Diaprepocoris,5,4.7
Hemiptera Veliidae Microvelia,5,4.6
Hemiptera Saldidae Saldula,5,3.9
Hemiptera Corixidae Sigara,5,2.4
Amphipoda Corophiidae Corophium,5,5.5
Amphipoda Talitridae ,5,5.5
Amphipoda Melitidae Melita,5,5.5
Amphipoda Paracalliopiidae Paracalliope,5,5.5
Amphipoda Corophiidae Paracorophium,5,5.5
Amphipoda Paracrangonyctidae Paracrangonyx,5,5.5
Amphipoda Paraleptamphopidae Paraleptamphopus,5,5.5
Amphipoda Phreatogammaridae Phreatogammarus,5,5.5
Cladocera  ,5,0.7
Decapoda  Amarinus,,5.1
Decapoda Varunidae Helice,,6.6
Decapoda Parastacidae Paranephrops,5,8.4
Decapoda Atyidae Paratya,5,3.6
Decapoda Mysidae Tenagomysis,,6.4
Isopoda Idoteidae Austridotea,5,4.5
Isopoda Paranthuridae Paranthura,5,4.5
Isopoda Sphaeromatidae ,5,4.5
Isopoda Paranthuridae Cruregens,5,4.5
Isopoda Phreatoicidae ,5,4.5
Isopoda Styloniscidae Styloniscus,5,4.5
Mysidae  ,,6.4
Ostracoda  ,3,1.9
Calanoida  ,5,2.4
Copepoda Cyclopoida Cyclopoids,5,2.4
Notostraca Triopsidae Lepidurus,,
Tanaidaceae  Sinelobus,4,6.8
Coelenterata Hydra  ,3,1.6
Platyhelminthes  ,3,0.9
Rhabdocoela  ,,0.9
Bryozoa  ,,4
Nematoda  ,3,3.1
Nematomorpha  ,3,4.3
Polychaeta  ,,6.7
Hirudinea  ,3,1.2
Tardigrada  ,,4.5
Lepidoptera  Hygraula,4,1.3
Collembola  ,6,5.3
Acarina  ,5,5.2
Arachinida  Dolomedes,5,6.2
Megaloptera Corydalidae Archichauliodes,7,7.3
Neuroptera Osmylidae Kempynus,5,
Neuroptera Sisyridae Sisyra,,
Mecoptera Nannochoristidae Nannochorista,7,
Architaenioglossa Ampullariidae ,,
Littorinimorpha Tateidae Potamopyrgus,4,2.1
Littorinimorpha Tateidae Halopyrgus,,
Littorinimorpha Tateidae Leptopyrgus,,
Lymnaeidae  Austropeplea,3,1.2
Lymnaeidae  Lymnaea,3,1.2
Lymnaeidae  Pseudosuccinea,3,1.2
Planorbidae  Glyptophysa,5,0.3
Planorbidae  Glyptophysa,5,0.3
Planorbidae  Gyraulus,3,1.7
Planorbidae  Planorbella,,
Planorbidae  Planorbarius,,
Physidae  Physa,3,0.1
Melanopsidae  Zemelanopsis,3,1.9
Thiaridae  Melanoides,,
Planorbidae  Ferrissia,3,2.4
Latiidae  Latia,3,6.1
Sphaerioidea Sphaeriidae ,3,2.9
Unionida Hyriidae Echyridella,3,6.7
Tricladida Dugesiidae Cura,3, 0.9
Tricladida Dugesiidae Neppia,3,0.9
Other <ok to edit>,,
